,budget,imdb_id,popularity,release_date,startYear,release_month,revenue,runtime,title,Genre,Production_Company,Director,averageRating,numVotes,original_language,status,New_status
88,55000000.0,tt0078346,15.460102,1978-12-13,1978,12,300218018.0,143.0,Superman,Action,Warner Bros.,Richard Donner,7.3,150917,en,5.458509418181818,1.0
89,20000000.0,tt0089457,8.157587,1985-03-27,1985,3,18432000.0,121.0,Ladyhawke,Adventure,Twentieth Century Fox Film Corporation,Richard Donner,7.0,40834,en,0.9216,0.0
90,80000000.0,tt0300556,6.982761999999999,2003-11-26,2003,11,43935763.0,116.0,Timeline,Action,Paramount Pictures,Richard Donner,5.6,58113,en,0.5491970375,0.0
91,55000000.0,tt0450232,11.887779,2006-03-01,2006,3,65664721.0,105.0,16 Blocks,Action,Donners' Company,Richard Donner,6.6,122960,en,1.1939040181818181,1.0
92,3600000.0,tt0113627,10.332025,1995-10-27,1995,10,49800000.0,112.0,Leaving Las Vegas,Drama,United Artists,Mike Figgis,7.5,108662,en,13.833333333333334,1.0
93,29500000.0,tt0114746,12.297305,1995-12-29,1995,12,168840000.0,129.0,Twelve Monkeys,Science Fiction,Universal Pictures,Terry Gilliam,8.0,548469,en,5.7233898305084745,1.0
94,18500000.0,tt0120669,9.220346000000001,1998-05-22,1998,5,10680275.0,118.0,Fear and Loathing in Las Vegas,Adventure,Universal Pictures,Terry Gilliam,7.6,246679,en,0.5773121621621622,0.0
95,5000000.0,tt0081633,9.841623,1981-07-13,1981,7,42365581.0,116.0,Time Bandits,Family,Handmade Films Ltd.,Terry Gilliam,7.0,54758,en,8.4731162,1.0
96,24000000.0,tt0101889,11.184385,1991-09-09,1991,9,41895491.0,137.0,The Fisher King,Comedy,TriStar Pictures,Terry Gilliam,7.5,74835,en,1.7456454583333334,1.0
97,46630000.0,tt0096764,7.7534160000000005,1988-12-07,1988,12,8083123.0,126.0,The Adventures of Baron Munchausen,Action,Columbia Pictures Corporation,Terry Gilliam,7.2,48247,en,0.17334597898348703,0.0
98,88000000.0,tt0355295,15.66148,2005-08-26,2005,8,105316267.0,118.0,The Brothers Grimm,Adventure,The Weinstein Company,Terry Gilliam,5.9,112172,en,1.1967757613636363,1.0
99,12000000.0,tt0410764,6.7964649999999995,2005-09-09,2005,9,566611.0,120.0,Tideland,Fantasy,Recorded Picture Company (RPC),Terry Gilliam,6.5,30536,en,0.047217583333333334,0.0
100,30000000.0,tt0112431,14.404764000000002,1995-07-18,1995,7,254134910.0,89.0,Babe,Fantasy,Universal Pictures,Chris Noonan,6.7,111025,en,8.471163666666667,1.0
101,30000000.0,tt0482546,8.599342,2006-12-03,2006,12,35078241.0,92.0,Miss Potter,Drama,BBC Films,Chris Noonan,6.9,26939,en,1.1692747,1.0
102,11000000.0,tt0112818,6.891317,1995-12-29,1995,12,39363635.0,122.0,Dead Man Walking,Drama,Havoc,Tim Robbins,7.5,84187,en,3.5785122727272727,1.0
103,18000000.0,tt0113855,10.870138,1995-08-18,1995,8,122195920.0,101.0,Mortal Kombat,Action,New Line Cinema,Paul W.S. Anderson,5.8,95630,en,6.788662222222222,1.0
104,60000000.0,tt0119081,11.335072,1997-08-15,1997,8,26673242.0,96.0,Event Horizon,Horror,Paramount Pictures,Paul W.S. Anderson,6.7,147067,en,0.4445540333333333,0.0
105,75000000.0,tt0120157,7.970031,1998-10-23,1998,10,14567883.0,99.0,Soldier,Action,Impact Pictures,Paul W.S. Anderson,6.0,49743,en,0.19423844,0.0
106,33000000.0,tt0120804,7.781292999999999,2002-03-15,2002,3,102984862.0,100.0,Resident Evil,Horror,Impact Pictures,Paul W.S. Anderson,6.7,235706,en,3.120753393939394,1.0
107,70000000.0,tt0370263,12.636205,2004-08-12,2004,8,171183863.0,101.0,AVP: Alien vs. Predator,Adventure,Impact Pictures,Paul W.S. Anderson,5.6,176894,en,2.445483757142857,1.0
108,45000000.0,tt0452608,13.530029999999998,2008-08-22,2008,8,73762516.0,105.0,Death Race,Action,Universal Pictures,Paul W.S. Anderson,6.4,190378,en,1.6391670222222223,1.0
109,20000000.0,tt0114681,10.448481,1995-05-20,1995,5,21284514.0,106.0,To Die For,Fantasy,The Rank Organisation,Gus Van Sant,6.8,41101,en,1.0642257,1.0
110,10000000.0,tt0119217,15.064832999999998,1997-12-05,1997,12,225933435.0,126.0,Good Will Hunting,Drama,Miramax Films,Gus Van Sant,8.3,791365,en,22.5933435,1.0
111,60000000.0,tt0155975,6.715897999999999,1998-12-04,1998,12,37141130.0,105.0,Psycho,Horror,Imagine Entertainment,Gus Van Sant,4.6,43832,en,0.6190188333333333,0.0
112,2500000.0,tt0097240,8.026112,1989-09-09,1989,9,4729352.0,100.0,Drugstore Cowboy,Crime,Avenue Pictures Productions,Gus Van Sant,7.3,30272,en,1.8917408,1.0
113,43000000.0,tt0181536,10.536255,2000-12-21,2000,12,80049764.0,136.0,Finding Forrester,Drama,Fountainbridge Films,Gus Van Sant,7.3,79832,en,1.861622418604651,1.0
114,3000000.0,tt0363589,6.447312,2003-05-18,2003,5,10012022.0,81.0,Elephant,Drama,HBO Films,Gus Van Sant,7.2,81816,en,3.3373406666666665,1.0
115,20000000.0,tt1013753,10.680121,2008-11-26,2008,11,54586584.0,128.0,Milk,History,Focus Features,Gus Van Sant,7.5,158057,en,2.7293292,1.0
116,33000000.0,tt0114369,18.45743,1995-09-22,1995,9,327311859.0,127.0,Se7en,Crime,New Line Cinema,David Fincher,8.6,1329480,en,9.918541181818181,1.0
